Parent Class,Class,Equivalent Class,Canonical Class,Canonical Source
Point,Max_Supply_Air_Temperature_Setpoint_Limit,Max_Supply_Air_Temperature_Setpoint_Limit,,
Point,Max_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,Max_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,Max_Unoccupied_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Unoccupied_Cooling_Supply_Air_Flow_Setpoint_Limit,Max_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Unoccupied_Cooling_Supply_Air_Flow_Setpoint_Limit,Max_Unoccupied_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Unoccupied_Heating_Discharge_Air_Flow_Setpoint_Limit,Max_Unoccupied_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Unoccupied_Heating_Discharge_Air_Flow_Setpoint_Limit,Max_Unoccupied_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Max_Unoccupied_Heating_Supply_Air_Flow_Setpoint_Limit,Max_Unoccupied_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Max_Unoccupied_Heating_Supply_Air_Flow_Setpoint_Limit,Max_Unoccupied_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Cooling_Discharge_Air_Flow_Setpoint_Limit,Min_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Cooling_Discharge_Air_Flow_Setpoint_Limit,Min_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Cooling_Supply_Air_Flow_Setpoint_Limit,Min_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Cooling_Supply_Air_Flow_Setpoint_Limit,Min_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Discharge_Air_Static_Pressure_Setpoint_Limit,Min_Discharge_Air_Static_Pressure_Setpoint_Limit,,
Point,Min_Discharge_Air_Static_Pressure_Setpoint_Limit,Min_Supply_Air_Static_Pressure_Setpoint_Limit,,
Point,Min_Discharge_Air_Temperature_Setpoint_Limit,Min_Discharge_Air_Temperature_Setpoint_Limit,,
Point,Min_Discharge_Air_Temperature_Setpoint_Limit,Min_Supply_Air_Temperature_Setpoint_Limit,,
Point,Min_Heating_Discharge_Air_Flow_Setpoint_Limit,Min_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Heating_Discharge_Air_Flow_Setpoint_Limit,Min_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Heating_Supply_Air_Flow_Setpoint_Limit,Min_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Heating_Supply_Air_Flow_Setpoint_Limit,Min_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,Min_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,Min_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,Min_Occupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,Min_Occupied_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,Min_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,Min_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,Min_Occupied_Heating_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,Min_Occupied_Heating_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Supply_Air_Static_Pressure_Setpoint_Limit,Min_Discharge_Air_Static_Pressure_Setpoint_Limit,,
Point,Min_Supply_Air_Static_Pressure_Setpoint_Limit,Min_Supply_Air_Static_Pressure_Setpoint_Limit,,
Point,Min_Supply_Air_Temperature_Setpoint_Limit,Min_Discharge_Air_Temperature_Setpoint_Limit,,
Point,Min_Supply_Air_Temperature_Setpoint_Limit,Min_Supply_Air_Temperature_Setpoint_Limit,,
Point,Min_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,Min_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
Point,Min_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,Min_Unoccupied_Cooling_Supply_Air_Flow_Setpoint_Limit,,
Point,Min_Unoccupied_Cooling_Supply_Air_Flow_Setpoint_Limit,Min_Unoccupied_Cooling_Discharge_Air_Flow_Setpoint_Limit,,
